name,description,image,animation_url,external_url,rarityTier,trait:Background Gradient,trait:Family,trait:Frequency,trait:Mode,trait:Pattern,trait:Visual Style
Classic NODE #12,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/12.png,,,,Lilac Echo,Bridge Mesh,1606 Hz,7 x 8,Symmetric Crown,Classic Plate Gradient
Classic NODE #13,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/13.png,,,,Cyan Voltage,Radial Bloom,606 Hz,4 x 4,Square Petal Core,Classic Plate Gradient
Classic NODE #14,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/14.png,,,,Emerald Bloom,Loop Lattice,1158 Hz,5 x 6,Orbital Mesh Bloom,Classic Plate Gradient
Classic NODE #15,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/15.png,,,,Gold Lotus,Mirror Mesh,1281 Hz,5 x 7,Sacred Mirror Net,Classic Plate Gradient
Classic NODE #16,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/16.png,,,,Frozen Pulse,Orbital Wells,744 Hz,3 x 5,Branch Petal Lines,Classic Plate Gradient
Classic NODE #17,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/17.png,,,,Plasma Orchid,Mirror Mesh,1265 Hz,5 x 7,Sacred Mirror Net,Classic Plate Gradient
Classic NODE #18,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/18.png,,,,Neon Meadow,Radial Bloom,578 Hz,3 x 4,Square Petal Core,Classic Plate Gradient
Classic NODE #19,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/19.png,,,,Opal Current,Bridge Mesh,1550 Hz,6 x 8,High Petal Lattice,Classic Plate Gradient
Classic NODE #20,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/20.png,,,,Aurora Jade,Circle Lattice,1682 Hz,6 x 9,Wave Labyrinth,Classic Plate Gradient
Classic NODE #21,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/21.png,,,,Violet Nocturne,Circle Lattice,1697 Hz,6 x 7,Wave Labyrinth,Classic Plate Gradient
Classic NODE #22,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/22.png,,,,Crimson Haze,Orbital Wells,621 Hz,3 x 4,Square Petal Core,Classic Plate Gradient
Classic NODE #23,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/23.png,,,,Ocean Signal,Diamond Grid,2056 Hz,7 x 9,Dense Diamond Field,Classic Plate Gradient
Classic NODE #24,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/24.png,,,,Gold Lotus,Wave Labyrinth,1845 Hz,7 x 9,Orbital Ring Mesh,Classic Plate Gradient
Classic NODE #25,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/25.png,,,,Emerald Bloom,Bridge Mesh,1521 Hz,6 x 6,High Petal Lattice,Classic Plate Gradient
Classic NODE #26,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/26.png,,,,Plasma Orchid,Dense Net,2173 Hz,8 x 9,Readable Dense Net,Classic Plate Gradient
Classic NODE #27,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/27.png,,,,Frozen Pulse,Branch Web,1024 Hz,3 x 6,Golden Loop Cells,Classic Plate Gradient
Classic NODE #28,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/28.png,,,,Mint Prism,Petal Grid,866 Hz,5 x 5,Central Ring Cross,Classic Plate Gradient
Classic NODE #29,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/29.png,,,,Ruby Halo,Circle Lattice,1748 Hz,6 x 9,Wave Labyrinth,Classic Plate Gradient
Classic NODE #30,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/30.png,,,,Lilac Echo,Orbital Mesh,1420 Hz,5 x 7,Diamond Bridge Mesh,Classic Plate Gradient
Classic NODE #31,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/31.png,,,,Cyan Voltage,Petal Grid,773 Hz,3 x 5,Branch Petal Lines,Classic Plate Gradient
Classic NODE #32,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/32.png,,,,Amber Night,Bridge Mesh,1554 Hz,7 x 7,High Petal Lattice,Classic Plate Gradient
Classic NODE #33,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/33.png,,,,Rose Flame,Orbital Mesh,1347 Hz,5 x 6,Diamond Bridge Mesh,Classic Plate Gradient
Classic NODE #34,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/34.png,,,,Indigo Mesh,Ring Cross,237 Hz,2 x 3,Sub Ring Pulse,Classic Plate Gradient
Classic NODE #35,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/35.png,,,,Sunset Relay,Orbital Mesh,1432 Hz,6 x 7,Diamond Bridge Mesh,Classic Plate Gradient
Classic NODE #36,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/36.png,,,,Ruby Halo,Circle Lattice,1683 Hz,6 x 8,Wave Labyrinth,Classic Plate Gradient
Classic NODE #37,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/37.png,,,,Mint Prism,Bridge Mesh,1521 Hz,6 x 7,High Petal Lattice,Classic Plate Gradient
Classic NODE #38,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/38.png,,,,Ocean Signal,Mirror Mesh,1270 Hz,5 x 7,Sacred Mirror Net,Classic Plate Gradient
Classic NODE #39,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/39.png,,,,Crimson Haze,Low Ring,24 Hz,1 x 2,Deep Bass Bloom,Classic Plate Gradient
Classic NODE #40,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/40.png,,,,Crimson Haze,Bridge Mesh,1557 Hz,5 x 9,High Petal Lattice,Classic Plate Gradient
Classic NODE #41,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/41.png,,,,Ocean Signal,Circle Lattice,1711 Hz,6 x 8,Wave Labyrinth,Classic Plate Gradient
Classic NODE #42,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/42.png,,,,Aurora Jade,Wave Labyrinth,1870 Hz,6 x 9,Orbital Ring Mesh,Classic Plate Gradient
Classic NODE #43,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/43.png,,,,Violet Nocturne,Mirror Mesh,1309 Hz,5 x 7,Sacred Mirror Net,Classic Plate Gradient
Classic NODE #44,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/44.png,,,,Coral Bloom,Ring Cross,172 Hz,1 x 2,Sub Ring Pulse,Classic Plate Gradient
Classic NODE #45,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/45.png,,,,Solar Ember,Radial Bloom,592 Hz,3 x 3,Square Petal Core,Classic Plate Gradient
Classic NODE #46,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/46.png,,,,Opal Current,Cross Bloom,455 Hz,3 x 4,Mirror Flower,Classic Plate Gradient
Classic NODE #47,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/47.png,,,,Neon Meadow,Bridge Mesh,1505 Hz,6 x 7,High Petal Lattice,Classic Plate Gradient
Classic NODE #48,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/48.png,,,,Sunset Relay,Circle Lattice,1735 Hz,6 x 8,Wave Labyrinth,Classic Plate Gradient
Classic NODE #49,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/49.png,,,,Indigo Mesh,Mirror Mesh,1328 Hz,5 x 8,Sacred Mirror Net,Classic Plate Gradient
Classic NODE #50,Classic cymatics NFT with randomized readable frequency mapping from 20 Hz to 2222 Hz and unique gradient background.,ipfs://QmU5FDkocakxcEKyGiZRaog1FhHvxkPTESAyVemhV8Sas8/50.png,,,,Emerald Bloom,Bridge Mesh,1557 Hz,6 x 8,High Petal Lattice,Classic Plate Gradient
